TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--19-54-07,0,40,7,7958,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"100.686"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"104.396"|"faces":[]}
2026-12-2--19-54-07,0,41,7,8156,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"85.537"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"91.838"|"faces":[]}
2026-12-2--19-54-07,0,42,7,8355,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.739"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"103.301"|"faces":[]}
2026-12-2--19-54-07,0,43,7,8553,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"82.306"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"86.223"|"faces":[]}
2026-12-2--19-54-07,0,44,7,8753,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"115.041"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"122.675"|"faces":[]}
2026-12-2--19-54-07,0,45,7,8951,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"88.112"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"94.327"|"faces":[]}
2026-12-2--19-54-07,0,46,7,9151,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"101.985"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"105.322"|"faces":[]}
2026-12-2--19-54-07,0,47,7,9349,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"87.242"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"94.105"|"faces":[]}
2026-12-2--19-54-07,0,48,7,9551,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"83.807"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"90.231"|"faces":[]}
2026-12-2--19-54-07,0,49,7,9749,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"99.01"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"105.696"|"faces":[]}
2026-12-2--19-54-07,0,50,7,9947,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.38"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"101.807"|"faces":[]}
2026-12-2--19-54-07,0,51,7,10147,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"104.487"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"108.511"|"faces":[]}
2026-12-2--19-54-07,0,52,7,10346,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.825"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"101.153"|"faces":[]}
2026-12-2--19-54-07,0,53,7,10544,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"84.707"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"91.133"|"faces":[]}
2026-12-2--19-54-07,0,54,7,10741,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.63"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"97.441"|"faces":[]}
2026-12-2--19-54-07,0,55,7,10939,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"83.588"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"90.063"|"faces":[]}
2026-12-2--19-54-07,0,56,8,11138,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.016"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.089"|"faces":[]}
2026-12-2--19-54-07,0,57,8,11337,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"96.523"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"102.624"|"faces":[]}
2026-12-2--19-54-07,0,58,8,11535,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.195"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"98.932"|"faces":[]}
2026-12-2--19-54-07,0,59,7,11737,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"81.072"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"87.454"|"faces":[]}
2026-12-2--19-54-07,0,60,8,11935,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"98.613"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"103.21"|"faces":[]}
2026-12-2--19-54-07,0,61,7,12133,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.56"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.908"|"faces":[]}
2026-12-2--19-54-07,0,62,7,12336,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"97.578"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"106.416"|"faces":[]}
2026-12-2--19-54-07,0,63,7,12534,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"82.898"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"86.815"|"faces":[]}
2026-12-2--19-54-07,0,64,7,12732,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.789"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"98.939"|"faces":[]}
2026-12-2--19-54-07,0,65,7,12930,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"88.849"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"94.451"|"faces":[]}
2026-12-2--19-54-07,0,66,7,13128,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"85.131"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"88.273"|"faces":[]}
2026-12-2--19-54-07,0,67,8,13327,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"96.882"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"104.047"|"faces":[]}
2026-12-2--19-54-07,0,68,7,13527,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"105.327"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"109.118"|"faces":[]}
2026-12-2--19-54-07,0,69,7,13725,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"89.526"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"96.369"|"faces":[]}
