TimeStamp,FPS,GT # Faces,# Faces,frame #,QRDetection Status,Hardcoded Eye Gaze,DetectedFaces Info
19-51-40.2948,35,0,0,182,TRUE,FALSE,{}
19-51-40.3111,37,0,0,183,TRUE,FALSE,{}
19-51-40.3425,40,0,0,184,TRUE,FALSE,{}
19-51-40.3620,38,0,0,185,TRUE,FALSE,{}
19-51-40.3852,40,0,0,186,TRUE,FALSE,{}
19-51-40.4003,41,0,0,187,TRUE,FALSE,{}
19-51-40.4337,44,0,0,188,TRUE,FALSE,{}
19-51-40.4524,40,0,0,189,TRUE,FALSE,{}
19-51-40.4723,42,0,0,190,TRUE,FALSE,{}
19-51-40.4859,44,0,0,191,TRUE,FALSE,{}
19-51-40.5189,47,0,0,192,TRUE,FALSE,{}
19-51-40.5401,42,0,0,193,TRUE,FALSE,{}
19-51-40.5590,43,0,0,194,TRUE,FALSE,{}
19-51-40.5737,45,0,0,195,TRUE,FALSE,{}
19-51-40.6159,48,0,0,196,TRUE,FALSE,{}
19-51-40.6315,40,0,0,197,TRUE,FALSE,{}
19-51-40.6464,43,0,0,198,TRUE,FALSE,{}
19-51-40.6607,47,0,0,199,TRUE,FALSE,{}
19-51-40.7022,49,0,0,200,TRUE,FALSE,{}
19-51-40.7448,40,0,0,201,TRUE,FALSE,{}
19-51-40.7645,35,0,0,202,TRUE,FALSE,{}
19-51-40.7838,38,0,0,203,TRUE,FALSE,{}
19-51-40.8255,40,0,0,204,TRUE,FALSE,{}
19-51-40.8592,33,0,1,205,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-40.8862,34,0,1,206,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-40.9111,34,0,1,207,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
