TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--19-33-28,0,43,6,8621,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"134.855"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"141.549"|"faces":[]}
2026-12-2--19-33-28,0,44,6,8820,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"121.139"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"129.27"|"faces":[]}
2026-12-2--19-33-28,0,45,6,9020,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"119.662"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"125.472"|"faces":[]}
2026-12-2--19-33-28,0,46,6,9220,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"118.974"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"126.431"|"faces":[]}
2026-12-2--19-33-28,0,47,6,9420,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"127.027"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"135.282"|"faces":[]}
2026-12-2--19-33-28,0,48,6,9624,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"126.354"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"135.307"|"faces":[]}
2026-12-2--19-33-28,0,49,6,9828,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"141.203"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"150.046"|"faces":[]}
2026-12-2--19-33-28,0,50,5,10032,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"119.575"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"125.328"|"faces":[]}
2026-12-2--19-33-28,0,51,6,10236,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"120.367"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"130.539"|"faces":[]}
2026-12-2--19-33-28,0,52,6,10436,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"135.787"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"141.798"|"faces":[]}
2026-12-2--19-33-28,0,53,6,10636,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"120.798"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"127.379"|"faces":[]}
2026-12-2--19-33-28,0,54,6,10836,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"133.998"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"138.923"|"faces":[]}
2026-12-2--19-33-28,0,55,6,11036,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"125.413"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"134.231"|"faces":[]}
2026-12-2--19-33-28,0,56,6,11236,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"127.363"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"133.381"|"faces":[]}
2026-12-2--19-33-28,0,57,6,11440,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"130.719"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"137.384"|"faces":[]}
2026-12-2--19-33-28,0,58,6,11640,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"123.633"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"126.729"|"faces":[]}
2026-12-2--19-33-28,0,59,6,11840,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"121.039"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"124.907"|"faces":[]}
2026-12-2--19-33-28,0,60,6,12040,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"132.744"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"136.351"|"faces":[]}
2026-12-2--19-33-28,0,61,6,12240,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"140.156"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"144.937"|"faces":[]}
2026-12-2--19-33-28,0,62,5,12440,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"112.034"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"118.556"|"faces":[]}
2026-12-2--19-33-28,0,63,6,12640,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"125.724"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"129.853"|"faces":[]}
2026-12-2--19-33-28,0,64,6,12840,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"110.585"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"121.641"|"faces":[]}
2026-12-2--19-33-28,0,65,6,13040,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"117.755"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"124.486"|"faces":[]}
2026-12-2--19-33-28,0,66,6,13240,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"113.306"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"124.914"|"faces":[]}
2026-12-2--19-33-28,0,67,6,13440,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"117.562"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"123.873"|"faces":[]}
2026-12-2--19-33-28,0,68,6,13639,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"123.25"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"129.115"|"faces":[]}
2026-12-2--19-33-28,0,69,6,13839,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"111.765"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"115.466"|"faces":[]}
2026-12-2--19-33-28,0,70,6,14038,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"126.412"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"132.93"|"faces":[]}
2026-12-2--19-33-28,0,71,6,14242,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"122.637"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"126.433"|"faces":[]}
2026-12-2--19-33-28,0,72,6,14442,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"124.406"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"128.427"|"faces":[]}
2026-12-2--19-33-28,0,73,6,14641,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"118.262"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"121.62"|"faces":[]}
2026-12-2--19-33-28,0,74,6,14844,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"133.37"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"140.495"|"faces":[]}
2026-12-2--19-33-28,0,75,6,15044,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"116.497"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"123.395"|"faces":[]}
2026-12-2--19-33-28,0,76,6,15244,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"124.894"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"131.783"|"faces":[]}
2026-12-2--19-33-28,0,77,6,15444,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"130.281"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"138.547"|"faces":[]}
2026-12-2--19-33-28,0,78,6,15642,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"119.004"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"125.3"|"faces":[]}
2026-12-2--19-33-28,0,79,6,15846,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"128.433"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"134.885"|"faces":[]}
2026-12-2--19-33-28,0,80,6,16046,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"119.727"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"130.297"|"faces":[]}
2026-12-2--19-33-28,0,81,6,16246,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"120.177"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"127.391"|"faces":[]}
2026-12-2--19-33-28,0,82,6,16446,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"117.593"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"122.564"|"faces":[]}
2026-12-2--19-33-28,0,83,6,16646,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"128.158"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"132.585"|"faces":[]}
2026-12-2--19-33-28,0,84,6,16846,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"128.897"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"132.531"|"faces":[]}
2026-12-2--19-33-28,0,85,6,17046,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"120.393"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"124.212"|"faces":[]}
2026-12-2--19-33-28,0,86,6,17245,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"116.537"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"124.09"|"faces":[]}
2026-12-2--19-33-28,0,87,6,17449,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"121.167"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"128.701"|"faces":[]}
2026-12-2--19-33-28,0,88,6,17649,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"118.404"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"124.837"|"faces":[]}
2026-12-2--19-33-28,0,89,6,17849,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"117.945"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"125.163"|"faces":[]}
