TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-34-20,0,29,3,5767,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"95.412"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"99.177"|"faces":[]}
2026-12-2--13-34-20,0,30,3,5966,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"107.57"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"113.287"|"faces":[]}
2026-12-2--13-34-20,0,31,3,6165,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"97.483"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.764"|"faces":[]}
2026-12-2--13-34-20,0,32,3,6365,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"100.641"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"105.558"|"faces":[]}
2026-12-2--13-34-20,0,33,3,6561,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"104"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"108.714"|"faces":[]}
2026-12-2--13-34-20,0,34,3,6760,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"103.875"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"107.39"|"faces":[]}
2026-12-2--13-34-20,0,35,3,6959,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"95.458"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.311"|"faces":[]}
2026-12-2--13-34-20,0,36,3,7158,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"102.542"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"107.69"|"faces":[]}
2026-12-2--13-34-20,0,37,3,7356,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"87.672"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"91.195"|"faces":[]}
2026-12-2--13-34-20,0,38,3,7556,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"110.838"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"114.451"|"faces":[]}
2026-12-2--13-34-20,0,39,3,7754,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"87.744"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"91.146"|"faces":[]}
2026-12-2--13-34-20,0,40,3,7954,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"107.891"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"114.296"|"faces":[]}
2026-12-2--13-34-20,0,41,3,8152,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.366"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"95.186"|"faces":[]}
2026-12-2--13-34-20,0,42,3,8352,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"111.106"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"116.518"|"faces":[]}
2026-12-2--13-34-20,0,43,3,8549,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.34"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"94.928"|"faces":[]}
